date,state,positive,negative,hospitalizedCurrently,inIcuCurrently,onVentilatorCurrently,recovered,death
20200705,AK,1111,121621,23,,3,544,16
20200705,AL,43953,405933,885,,,22082,1007
20200705,AR,23209,315684,285,,70,16726,286
20200705,AS,0,696,,,,,0
20200705,AZ,98089,506273,3182,821,531,11361,1809
20200705,CA,260155,4419983,7149,1907,,,6331
20200705,CO,33866,316851,283,,,4568,1521
20200705,CT,46717,452952,95,,,8210,4335
20200705,DC,10482,95511,87,26,18,1542,559
20200705,DE,12128,111813,53,15,,6740,512
20200705,FL,200111,2000088,,,,,3832
20200705,GA,95516,853669,1805,,,,2860
20200705,GU,288,14666,3,,,179,5
20200705,HI,999,83326,,,,756,19
20200705,IA,31353,301119,141,43,16,24739,721
20200705,ID,7370,96896,75,18,,2858,93
20200705,IL,148373,1614455,1326,304,165,,7230
20200705,IN,48008,473714,632,218,87,36475,2693
20200705,KS,15919,175642,,,,842,277
20200705,KY,16376,379271,455,99,,4747,585
20200705,LA,65226,737228,926,,105,43026,3288
20200705,MA,109974,781711,636,100,46,93157,8183
20200705,MD,69632,510330,409,144,,5029,3243
20200705,ME,3415,104517,25,9,3,2772,109
20200705,MI,72941,1073878,548,193,92,52841,6218
20200705,MN,38136,635879,253,132,,37617,1508
20200705,MO,23436,396073,739,,72,,1028
20200705,MP,31,8187,,,,19,2
20200705,MS,30900,279241,872,175,88,19388,1111
20200705,MT,1212,98894,20,,,678,23
20200705,NC,72983,963855,949,,,45538,1396
20200705,ND,3816,109312,22,,,3324,89
20200705,NE,19827,170101,109,,,14340,284
20200705,NH,5857,117892,25,,,4597,376
20200705,NJ,173402,1361238,917,210,151,30660,15211
20200705,NM,13063,359225,121,,,5845,513
20200705,NV,22418,285279,760,226,99,727,534
20200705,NY,397131,3836672,832,178,116,70968,24904
20200705,OH,57151,811611,693,236,119,40460,2911
20200705,OK,15928,348789,391,165,,12246,398
20200705,OR,10230,253971,173,52,25,2759,215
20200705,PA,89854,734846,592,,106,70086,6753
20200705,PR,7916,,118,9,5,,155
20200705,RI,16991,233963,61,9,7,1657,960
20200705,SC,44847,385962,1251,,,16994,820
20200705,SD,7063,76940,59,,,6063,97
20200705,TN,51431,844735,949,,,30254,646
20200705,TX,195239,1938218,8181,,,100843,2637
20200705,UT,24952,346356,237,84,,14147,184
20200705,VA,65748,643607,792,202,95,8784,1853
20200705,VI,111,3060,,,,76,6
20200705,VT,1249,68775,15,,,1007,56
20200705,WA,35247,572029,305,,56,,1354
20200705,WI,34740,584111,244,65,,24899,803
20200705,WV,3262,181559,27,12,5,2421,94
20200705,WY,1634,33693,8,,,1172,20
20200704,AK,1111,121621,23,,3,544,16
20200704,AL,42862,399226,800,,,22082,1007
20200704,AR,23209,315684,285,,70,16726,286
20200704,AS,0,696,,,,,0
20200704,AZ,94553,494955,3113,796,413,10903,1805
20200704,CA,254745,4298286,7092,1888,,,6313
20200704,CO,33619,312135,270,,,4557,1521
20200704,CT,46717,452952,95,,,8210,4335
20200704,DC,10447,94107,95,28,21,1523,557
20200704,DE,11996,108697,54,13,,6711,512
20200704,FL,190052,1956445,,,,,3803
20200704,GA,93319,833040,1726,,,,2857
20200704,GU,288,14666,3,,,179,5
20200704,HI,975,82501,,,,754,19
20200704,IA,31041,297970,134,40,16,24604,721
20200704,ID,6994,94073,75,18,,2831,93
20200704,IL,147734,1587859,1346,336,182,,7224
20200704,IN,47432,464856,632,218,87,36076,2687
20200704,KS,15919,175642,,,,842,277
20200704,KY,16376,379271,455,99,,4747,585
20200704,LA,63289,720853,852,,93,43026,3278
20200704,MA,109838,775929,640,107,51,93157,8172
20200704,MD,69341,504001,410,143,,5025,3236
20200704,ME,3397,102548,27,9,3,2751,107
20200704,MI,72581,1057573,548,193,92,52841,6218
20200704,MN,37624,607548,270,132,,32347,1503
20200704,MO,23215,389046,740,,73,,1027
20200704,MP,31,8187,,,,19,2
20200704,MS,30674,279241,872,175,88,19388,1107
20200704,MT,1167,97783,20,,,678,23
20200704,NC,71654,946642,945,,,45538,1395
20200704,ND,3779,108149,22,,,3288,89
20200704,NE,19660,167928,111,,,14200,284
20200704,NH,5857,117892,25,,,4597,376
20200704,NJ,173033,1335515,983,205,164,30565,15189
20200704,NM,12776,350598,130,,,5802,511
20200704,NV,21575,279654,749,205,97,727,530
20200704,NY,396598,3773790,844,190,119,70877,24896
20200704,OH,56183,792187,691,226,111,39903,2907
20200704,OK,15645,348789,391,165,,11965,398
20200704,OR,9930,245096,173,52,25,2759,213
20200704,PA,89375,725448,589,,102,69712,6749
20200704,PR,7787,,100,8,4,,155
20200704,RI,16991,233963,61,9,7,1657,960
20200704,SC,43386,377307,1190,,,16994,813
20200704,SD,7028,76802,54,,,6062,97
20200704,TN,50140,828464,949,,,30043,637
20200704,TX,191790,1880019,7890,,,97430,2608
20200704,UT,24542,342174,255,88,,13807,181
20200704,VA,65109,634120,808,207,99,8741,1849
20200704,VI,111,3060,,,,76,6
20200704,VT,1238,68159,16,,,999,56
20200704,WA,34778,565197,315,,58,,1352
20200704,WI,34207,579637,235,67,,24491,803
20200704,WV,3141,178288,25,11,4,2402,94
20200704,WY,1606,33693,8,,,1169,20
20200703,AK,1063,119145,25,,3,539,15
20200703,AL,41865,388766,812,,,22082,1006
20200703,AR,22622,308615,285,,70,16164,281
20200703,AS,0,696,,,,,0
20200703,AZ,91858,486523,3013,741,489,10478,1788
20200703,CA,248235,4199941,7024,1871,,,6263
20200703,CO,33352,306938,270,,,4541,1521
20200703,CT,46717,452952,95,,,8210,4335
20200703,DC,10435,92374,110,38,24,1497,555
20200703,DE,11923,106420,57,13,,6692,512
20200703,FL,178594,1902766,,,,,3785
20200703,GA,90493,810724,1671,,,,2856
20200703,GU,286,14263,2,,,179,5
20200703,HI,946,80672,,,,746,18
20200703,IA,30429,291032,146,40,20,24338,720
20200703,ID,6593,92116,42,15,,2801,92
20200703,IL,146872,1554885,1349,334,164,,7215
20200703,IN,46915,457238,633,217,81,35756,2681
20200703,KS,15919,175642,,,,842,277
20200703,KY,16376,379271,455,99,,4747,585
20200703,LA,63289,720853,852,,93,43026,3278
20200703,MA,109628,768152,656,106,55,93157,8149
20200703,MD,68961,494873,422,143,,5023,3223
20200703,ME,3373,100076,27,9,3,2731,105
20200703,MI,72175,1036090,548,193,92,51099,6215
20200703,MN,37624,607548,270,132,,32347,1503
20200703,MO,22830,382129,716,,78,,1026
20200703,MP,31,8187,,,,19,2
20200703,MS,28770,270269,863,167,94,19388,1092
20200703,MT,1128,96375,17,,,678,23
20200703,NC,70241,929052,951,,,45538,1392
20200703,ND,3722,106852,20,,,3266,89
20200703,NE,19452,164682,121,,,14022,282
20200703,NH,5822,116365,31,,,4508,375
20200703,NJ,172742,1312759,1028,216,167,30464,15164
20200703,NM,12520,344117,127,,,5627,503
20200703,NV,20718,272967,704,219,87,727,528
20200703,NY,395872,3712113,857,188,125,70794,24885
20200703,OH,55257,772900,740,233,100,39423,2903
20200703,OK,15065,348789,391,165,,11519,398
20200703,OR,9294,241760,173,52,25,2759,209
20200703,PA,88741,715403,598,,105,69217,6746
20200703,PR,7683,,104,11,6,,154
20200703,RI,16991,233963,61,9,7,1657,960
20200703,SC,41532,367500,1148,,,16994,793
20200703,SD,6978,76015,58,,,6049,97
20200703,TN,48712,813777,949,,,29591,633
20200703,TX,183532,1830374,7652,,,93572,2575
20200703,UT,23866,332770,232,85,,13408,181
20200703,VA,64393,623967,818,207,95,8711,1845
20200703,VI,98,2963,,,,75,6
20200703,VT,1236,67159,16,,,967,56
20200703,WA,34151,550838,334,,62,,1342
20200703,WI,33431,573553,244,75,,24043,803
20200703,WV,3126,177576,25,11,4,2396,93
20200703,WY,1582,33693,8,,,1154,20
20200702,AK,1017,114892,18,,1,535,14
20200702,AL,40111,379617,843,,,22082,985
20200702,AR,22075,301912,272,,72,15698,279
20200702,AS,0,696,,,,,0
20200702,AZ,87425,473414,2938,723,488,10137,1757
20200702,CA,240195,4098523,6812,1934,,,6163
20200702,CO,33029,300226,262,,,4524,1520
20200702,CT,46646,442560,101,,,8210,4326
20200702,DC,10390,90673,120,33,28,1465,554
20200702,DE,11731,103187,67,16,,6678,510
20200702,FL,169106,1863077,,,,,3718
20200702,GA,87709,795530,1649,,,,2849
20200702,GU,280,13653,1,,,179,5
20200702,HI,926,79364,,,,741,18
20200702,IA,30209,287329,145,36,18,23993,718
20200702,ID,6370,88751,42,15,,4393,92
20200702,IL,145935,1521435,1651,349,195,,7188
20200702,IN,46387,450448,644,221,89,35405,2662
20200702,KS,14990,168183,,,,834,272
20200702,KY,16079,369715,430,73,,4726,581
20200702,LA,61561,705813,840,,91,43026,3255
20200702,MA,109338,756920,681,113,52,93157,8132
20200702,MD,68423,484752,441,149,,5013,3212
20200702,ME,3328,97489,30,9,3,2698,105
20200702,MI,71678,1013459,548,193,103,51099,6212
20200702,MN,37210,593217,274,123,,32163,1495
20200702,MO,22283,375035,716,,77,,1022
20200702,MP,30,8187,,,,19,2
20200702,MS,28770,270269,863,167,94,19388,1092
20200702,MT,1083,94066,14,,,672,22
20200702,NC,68142,902978,912,,,45538,1391
20200702,ND,3657,104538,19,,,3235,78
20200702,NE,19310,163352,117,,,13807,276
20200702,NH,5802,114505,32,,,4491,373
20200702,NJ,172356,1291557,1027,216,170,30383,15107
20200702,NM,12276,337784,127,,,5514,500
20200702,NV,19733,264995,662,196,78,727,525
20200702,NY,394954,3646639,878,209,129,70698,24877
20200702,OH,52865,739140,724,244,116,38987,2876
20200702,OK,14539,338511,368,163,,11048,395
20200702,OR,9294,241760,173,52,25,2759,209
20200702,PA,88074,702199,631,,106,68697,6712
20200702,PR,7608,,97,8,3,,153
20200702,RI,16941,231327,67,11,10,1644,959
20200702,SC,39701,361700,1125,,,15471,784
20200702,SD,6893,75048,64,,,5982,97
20200702,TN,46890,791564,949,,,28938,620
20200702,TX,175977,1799826,7382,,,90720,2525
20200702,UT,23270,323116,229,81,,13076,176
20200702,VA,63735,610521,888,206,95,8496,1816
20200702,VI,92,2924,,,,75,6
20200702,VT,1227,66114,21,,,960,56
20200702,WA,33435,538529,311,,57,,1339
20200702,WI,32809,563946,236,74,,23527,800
20200702,WV,3053,175288,23,10,5,2380,93
20200702,WY,1550,33693,9,,,1139,20
20200701,AK,978,113422,20,,2,528,14
20200701,AL,38962,374991,797,,,18866,972
20200701,AR,21197,293661,275,,72,15163,277
20200701,AS,0,696,,,,,0
20200701,AZ,84092,465504,2876,675,466,9715,1720
20200701,CA,232657,4021519,6612,1859,,,6090
20200701,CO,32715,294788,237,,,4502,1520
20200701,CT,46572,431269,100,,,8053,4324
20200701,DC,10365,89670,119,33,26,1451,553
20200701,DE,11510,99874,68,13,,6676,509
20200701,FL,158997,1821357,,,,,3650
20200701,GA,84237,770801,1570,,,,2827
20200701,GU,267,13517,0,,,179,5
20200701,HI,917,78141,,,,736,18
20200701,IA,29451,280339,149,37,21,23607,717
20200701,ID,6117,84923,42,15,,4233,92
20200701,IL,145066,1492042,1511,384,189,,7152
20200701,IN,45952,443764,668,232,103,35025,2650
20200701,KS,14990,168183,,,,834,272
20200701,KY,15842,361248,427,73,,4052,572
20200701,LA,60178,691910,799,,84,43026,3238
20200701,MA,109143,749292,760,123,65,93157,8081
20200701,MD,67918,474686,461,154,,5001,3205
20200701,ME,3294,93947,29,8,3,2671,105
20200701,MI,71089,990770,471,179,103,51099,6198
20200701,MN,36716,580391,260,125,,31947,1482
20200701,MO,21927,367813,592,,75,,1017
20200701,MP,30,8187,,,,19,2
20200701,MS,27900,265852,786,160,85,19388,1082
20200701,MT,1016,92314,14,,,658,22
20200701,NC,66513,875725,901,,,45538,1373
20200701,ND,3615,103611,20,,,3210,78
20200701,NE,19177,161431,120,,,13737,274
20200701,NH,5782,113387,37,,,4463,371
20200701,NJ,171928,1271009,1080,217,178,30300,15078
20200701,NM,12147,332034,127,,,5393,497
20200701,NV,19101,264995,630,142,74,714,511
20200701,NY,394079,3577569,879,226,139,70590,24866
20200701,OH,52865,739140,724,244,116,,2876
20200701,OK,14112,332201,374,159,,10605,389
20200701,OR,8931,234429,192,62,24,2722,208
20200701,PA,87242,689562,632,,111,68048,6649
20200701,PR,7537,,121,7,3,,153
20200701,RI,16853,227362,69,11,11,1638,956
20200701,SC,37919,351953,1160,,,15471,766
20200701,SD,6826,74117,65,,,5933,93
20200701,TN,45315,772571,955,,,28283,609
20200701,TX,168062,1753886,6904,,,87556,2481
20200701,UT,22716,320642,261,84,,12707,173
20200701,VA,63203,595430,892,205,95,8131,1786
20200701,VI,90,2876,,,,73,6
20200701,VT,1210,65082,17,,,961,56
20200701,WA,32824,524451,288,,50,,1332
20200701,WI,32225,551607,237,77,,23089,793
20200701,WV,2932,170420,23,5,3,2284,93
20200701,WY,1514,32185,9,,,1119,20
20200630,AK,940,111245,18,,1,526,14
20200630,AL,38045,368607,776,,,18866,950
20200630,AR,20777,290426,290,,67,14531,270
20200630,AS,0,696,,,,,0
20200630,AZ,79215,453141,2793,683,455,9411,1632
20200630,CA,222917,3944222,6466,1751,,,5980
20200630,CO,32511,291346,271,,,4479,1508
20200630,CT,46514,419880,98,,,8053,4322
20200630,DC,10327,86968,126,33,22,1270,551
20200630,DE,11474,99407,64,13,,6667,509
20200630,FL,152434,1792561,,,,,3604
20200630,GA,81291,752587,1459,,,,2805
20200630,GU,259,13056,0,,,179,5
20200630,HI,900,76843,,,,722,18
20200630,IA,29007,275181,133,34,20,23212,715
20200630,ID,5752,83551,42,15,,4073,91
20200630,IL,144238,1459780,1560,401,185,,7124
20200630,IN,45594,438602,695,272,97,34646,2640
20200630,KS,14443,162282,,,,794,270
20200630,KY,15624,355310,408,75,,3990,565
20200630,LA,58095,670416,781,,83,42225,3221
20200630,MA,108882,739259,733,120,63,93157,8054
20200630,MD,67559,468296,452,152,,4982,3190
20200630,ME,3253,91699,29,9,4,2646,105
20200630,MI,70728,974329,471,179,98,51099,6193
20200630,MN,36303,569013,270,136,,31601,1476
20200630,MO,21551,351456,599,,66,,1015
20200630,MP,30,8187,,,,19,2
20200630,MS,27247,260299,779,167,91,19388,1073
20200630,MT,967,89894,12,,,642,22
20200630,NC,64670,845363,908,,,45538,1343
20200630,ND,3576,102546,25,,,3195,78
20200630,NE,19042,159115,121,,,13547,269
20200630,NH,5760,112538,34,,,4435,367
20200630,NJ,171667,1250707,992,211,174,30213,15035
20200630,NM,11982,325738,119,,,5296,493
20200630,NV,18456,259112,593,134,65,689,507
20200630,NY,393454,3521484,891,217,137,70487,24855
20200630,OH,51789,736140,722,242,115,,2863
20200630,OK,13757,327840,315,111,,10085,387
20200630,OR,8656,228978,149,42,25,2722,207
20200630,PA,86606,677581,634,,110,67552,6649
20200630,PR,7465,,102,9,2,,153
20200630,RI,16813,225469,74,13,13,1631,950
20200630,SC,36399,344173,1021,,,15471,739
20200630,SD,6764,73324,62,,,5872,91
20200630,TN,43509,749618,886,,,27599,604
20200630,TX,159986,1709296,6533,,,84818,2424
20200630,UT,22217,318536,250,83,,12398,172
20200630,VA,62787,582247,902,230,98,8080,1763
20200630,VI,84,2819,,,,73,6
20200630,VT,1208,64556,16,,,953,56
20200630,WA,32253,515967,282,,50,,1320
20200630,WI,31662,539539,242,79,,22587,784
20200630,WV,2905,168859,27,10,3,2272,93
20200630,WY,1487,32185,6,,,1097,20
20200629,AK,904,107805,16,,1,525,14
20200629,AL,37175,356118,715,,,18866,929
20200629,AR,20257,282279,300,,63,14066,265
20200629,AS,0,696,,,,,0
20200629,AZ,74533,436890,2721,679,465,9179,1588
20200629,CA,216550,3845142,6179,1686,,,5936
20200629,CO,32307,287258,234,,,4459,1482
20200629,CT,46362,398614,99,,,8053,4320
20200629,DC,10292,85068,121,34,23,1200,551
20200629,DE,11376,98555,72,15,,6665,507
20200629,FL,146341,1766402,,,,,3546
20200629,GA,79417,743700,1359,,,,2784
20200629,GU,255,12659,0,,,179,5
20200629,HI,899,76256,,,,719,18
20200629,IA,28782,272063,119,35,18,17851,708
20200629,ID,5319,81026,42,15,,3898,91
20200629,IL,143514,1429435,1501,372,187,,7103
20200629,IN,45228,431291,626,265,85,34348,2624
20200629,KS,14443,162282,,,,794,270
20200629,KY,15347,346094,381,69,,3939,560
20200629,LA,57081,647556,737,,79,42225,3199
20200629,MA,108768,733519,762,138,79,93157,8095
20200629,MD,67254,462059,447,160,,4979,3175
20200629,ME,3219,90304,31,8,4,2623,105
20200629,MI,70223,959152,557,193,106,51099,6161
20200629,MN,35861,557094,278,140,,31225,1470
20200629,MO,21043,346363,599,,,,998
20200629,MP,30,8187,,,,19,2
20200629,MS,26567,256955,719,158,93,19388,1059
20200629,MT,919,87824,13,,,609,22
20200629,NC,63484,822821,843,,,45538,1325
20200629,ND,3539,102152,25,,,3163,77
20200629,NE,18899,156373,117,,,13322,267
20200629,NH,5760,112538,34,,,4435,367
20200629,NJ,171272,1232712,978,225,185,30163,14992
20200629,NM,11809,319239,114,,,5264,492
20200629,NV,17894,255123,555,124,65,689,504
20200629,NY,392930,3469983,853,216,136,70435,24842
20200629,OH,51046,723336,669,245,115,,2818
20200629,OK,13172,313021,329,134,,9587,385
20200629,OR,8485,226648,151,44,25,2700,204
20200629,PA,85988,666901,635,,111,67070,6614
20200629,PR,7250,,104,8,1,,153
20200629,RI,16764,221756,73,15,14,1627,946
20200629,SC,34644,334661,1032,,,13456,720
20200629,SD,6716,72741,70,,,5818,91
20200629,TN,42297,734909,839,,,26962,592
20200629,TX,153011,1666178,5913,,,81335,2403
20200629,UT,21664,312241,254,80,,12205,168
20200629,VA,62189,574183,796,225,101,8023,1740
20200629,VI,81,2746,,,,71,6
20200629,VT,1208,63785,13,,,949,56
20200629,WA,31752,502691,270,,52,,1310
20200629,WI,31033,527359,237,90,,22217,784
20200629,WV,2870,166785,28,5,3,2196,93
20200629,WY,1450,30406,7,,,1070,20
20200628,AK,883,107417,12,,1,521,14
20200628,AL,35441,350839,655,,,18866,919
20200628,AR,19310,271912,278,,63,13270,259
20200628,AS,0,696,,,,,0
20200628,AZ,73908,435988,2691,666,475,8926,1588
20200628,CA,211243,3744709,5956,1602,,,5905
20200628,CO,32022,281689,235,,,4442,1482
20200628,CT,46303,392320,103,,,8053,4316
20200628,DC,10248,82884,126,34,27,1199,550
20200628,DE,11226,95120,78,14,,6665,507
20200628,FL,141075,1740822,,,,,3518
20200628,GA,77210,729728,1236,,,,2778
20200628,GU,248,12130,1,,,179,5
20200628,HI,872,74606,,,,714,18
20200628,IA,28489,267426,118,36,18,17620,705
20200628,ID,5319,81026,42,15,,3898,91
20200628,IL,142776,1403255,1464,373,193,,7089
20200628,IN,44930,425605,617,266,86,33935,2619
20200628,KS,13538,154321,,,,779,264
20200628,KY,15232,343259,386,68,,3730,558
20200628,LA,56236,639875,715,,76,39792,3199
20200628,MA,108667,727127,748,134,81,93157,8060
20200628,MD,66777,452696,446,158,,4976,3168
20200628,ME,3191,90304,31,10,4,2577,104
20200628,MI,69946,946733,557,193,106,51099,6158
20200628,MN,35549,549868,288,143,,30809,1460
20200628,MO,20575,340598,412,,,,997
20200628,MP,30,8187,,,,19,2
20200628,MS,25892,254296,676,149,88,17242,1039
20200628,MT,863,81611,11,,,604,22
20200628,NC,62142,809763,890,,,36921,1322
20200628,ND,3495,100430,24,,,3139,77
20200628,NE,18775,154023,123,,,13053,267
20200628,NH,5717,110392,35,,,4401,367
20200628,NJ,171182,1216651,1014,223,187,30092,14975
20200628,NM,11619,311340,122,,,5251,491
20200628,NV,17160,250420,511,122,59,684,500
20200628,NY,392539,3423946,869,229,167,70010,24835
20200628,OH,50309,706456,661,182,101,,2807
20200628,OK,12994,313021,329,134,,9397,385
20200628,OR,8341,209050,149,53,35,2649,202
20200628,PA,85496,657486,648,,121,66686,6579
20200628,PR,7189,,99,8,5,,153
20200628,RI,16661,213847,91,16,15,1600,927
20200628,SC,33320,326482,954,,,13456,716
20200628,SD,6681,72212,75,,,5752,91
20200628,TN,40172,708381,800,,,26159,584
20200628,TX,148728,1626491,5497,,,79974,2393
20200628,UT,21100,307349,289,83,,11931,167
20200628,VA,61736,566592,818,235,107,8005,1732
20200628,VI,81,2746,,,,71,6
20200628,VT,1202,62663,15,,,946,56
20200628,WA,31404,494398,304,,58,,1310
20200628,WI,30707,521747,239,89,,21953,777
20200628,WV,2817,163691,32,10,4,2062,93
20200628,WY,1417,30406,5,,,1057,20
20200627,AK,854,104727,11,,1,521,14
20200627,AL,35083,348943,655,,,18866,919
20200627,AR,18740,265225,284,,63,12784,249
20200627,AS,0,696,,,,,0
20200627,AZ,70051,424696,2577,657,433,8659,1579
20200627,CA,206433,3655877,5790,1562,,,5872
20200627,CO,31796,275787,226,,,4430,1482
20200627,CT,46206,383342,106,,,8053,4311
20200627,DC,10216,79055,136,43,26,1194,548
20200627,DE,11091,93171,83,15,,6665,507
20200627,FL,132545,1696980,,,,,3489
20200627,GA,74985,714828,1178,,,,2776
20200627,GU,248,11903,1,,,179,5
20200627,HI,866,73435,,,,705,17
20200627,IA,28012,261740,131,40,22,17467,704
20200627,ID,5148,78908,35,15,,3827,90
20200627,IL,142130,1380112,1516,400,225,,7074
20200627,IN,44575,418442,595,257,82,33725,2616
20200627,KS,13538,154321,,,,779,264
20200627,KY,14859,335895,387,74,,3730,553
20200627,LA,54769,623237,700,,73,39792,3190
20200627,MA,108443,717899,769,143,90,93157,8041
20200627,MD,66450,447366,478,181,,4935,3157
20200627,ME,3154,88778,24,7,5,2566,104
20200627,MI,69679,931142,557,193,106,51099,6153
20200627,MN,35033,533874,300,155,,30401,1452
20200627,MO,20261,335029,680,,66,,996
20200627,MP,30,8187,,,,19,2
20200627,MS,25531,251790,731,169,90,17242,1035
20200627,MT,852,80395,9,,,604,22
20200627,NC,60537,794594,888,,,36921,1312
20200627,ND,3458,99061,23,,,3119,77
20200627,NE,18524,150074,125,,,12698,266
20200627,NH,5671,109097,32,,,4381,365
20200627,NJ,170873,1196377,1103,236,200,29967,14948
20200627,NM,11408,309230,128,,,5149,489
20200627,NV,16339,246687,503,117,66,684,500
20200627,NY,391923,3362656,908,230,167,70010,24830
20200627,OH,49455,695384,561,190,106,,2804
20200627,OK,12642,313021,329,134,,9155,384
20200627,OR,7818,209050,149,53,35,2649,202
20200627,PA,84370,634711,651,,126,65808,6579
20200627,PR,7066,,105,10,5,,152
20200627,RI,16661,213847,91,16,15,1600,927
20200627,SC,31939,319225,908,,,13456,711
20200627,SD,6626,71474,73,,,5717,91
20200627,TN,40172,708381,705,,,26159,584
20200627,TX,143371,1579455,5523,,,78248,2366
20200627,UT,20628,302174,287,77,,11658,167
20200627,VA,61247,556679,819,234,103,7968,1724
20200627,VI,81,2746,,,,71,6
20200627,VT,1200,61523,14,,,946,56
20200627,WA,30855,483573,305,,50,,1304
20200627,WI,30227,515723,249,93,,21606,777
20200627,WV,2761,161894,33,10,4,2042,93
20200627,WY,1392,30406,5,,,1054,20
20200626,AK,836,100956,12,,2,519,14
20200626,AL,34183,344140,658,,,18866,907
20200626,AR,18062,259318,284,,61,12127,240
20200626,AS,0,696,,,,,0
20200626,AZ,66548,413275,2110,581,312,8389,1535
20200626,CA,200461,3570853,5639,1570,,,5812
20200626,CO,31479,271098,247,,,4412,1475
20200626,CT,46059,370803,127,,,8053,4307
20200626,DC,10185,77938,147,48,29,1186,546
20200626,DE,11017,91083,78,,,6661,507
20200626,FL,122960,1645925,,,,,3464
20200626,GA,72995,698033,1184,,,,2770
20200626,GU,248,11644,1,,,179,5
20200626,HI,850,72155,,,,696,17
20200626,IA,27686,255957,141,42,24,17313,704
20200626,ID,4865,77505,44,16,,3712,90
20200626,IL,141344,1350661,1516,400,225,,7048
20200626,IN,44140,409750,692,281,94,33396,2595
20200626,KS,13538,154321,,,,779,264
20200626,KY,14859,335895,387,74,,3730,553
20200626,LA,54769,623237,700,,73,39792,3190
20200626,MA,108070,706015,791,156,99,93157,8013
20200626,MD,66115,440282,487,190,,4903,3142
20200626,ME,3102,86752,28,9,6,2542,103
20200626,MI,69329,912377,557,193,106,49290,6134
20200626,MN,34616,522662,335,157,,30008,1446
20200626,MO,19914,328704,600,,66,,990
20200626,MP,30,8187,,,,19,2
20200626,MS,25066,246828,769,153,90,17242,1022
20200626,MT,829,79332,14,,,589,22
20200626,NC,58818,777907,892,,,36921,1303
20200626,ND,3421,97465,23,,,3090,77
20200626,NE,18346,146656,126,,,12314,260
20200626,NH,5671,109097,32,,,4381,365
20200626,NJ,170584,1176088,1118,234,206,29855,14914
20200626,NM,11192,303478,135,,,5047,485
20200626,NV,15240,243422,471,118,59,684,498
20200626,NY,391220,3290097,951,244,167,70010,24814
20200626,OH,48638,672914,624,205,116,,2788
20200626,OK,12343,298434,308,126,,8817,377
20200626,OR,7818,209050,149,53,35,2649,202
20200626,PA,84370,634711,661,,131,65808,6579
20200626,PR,6922,,89,9,7,,151
20200626,RI,16661,213847,91,16,15,1600,927
20200626,SC,30335,304336,906,,,13456,694
20200626,SD,6535,70480,79,,,5652,88
20200626,TN,39444,702588,741,,,25753,577
20200626,TX,137624,1559710,5102,,,76282,2324
20200626,UT,20050,297518,238,80,,11097,166
20200626,VA,60570,545893,854,219,99,7868,1700
20200626,VI,81,2705,,,,67,6
20200626,VT,1198,60391,14,,,941,56
20200626,WA,30367,475428,272,,49,,1300
20200626,WI,29668,507168,262,95,,21174,766
20200626,WV,2712,159245,33,10,4,1907,92
20200626,WY,1368,30406,5,,,1033,20
20200625,AK,816,98636,14,,2,513,12
20200625,AL,33206,336252,693,,,18866,896
20200625,AR,18062,259318,284,,61,12127,240
20200625,AS,0,696,,,,,0
20200625,AZ,63030,401166,2453,611,415,8139,1490
20200625,CA,195571,3498774,5522,1523,,,5733
20200625,CO,31155,264910,247,,,4392,1457
20200625,CT,45994,362949,122,,,8053,4298
20200625,DC,10159,76572,157,53,34,1182,543
20200625,DE,10980,90012,93,,,6646,507
20200625,FL,114018,1606626,,,,,3423
20200625,GA,71095,686829,1135,,,,2745
20200625,GU,245,11173,0,0,0,174,5
20200625,HI,835,71100,,,,686,17
20200625,IA,27197,249857,137,42,26,17017,695
20200625,ID,4645,75894,41,10,,3610,90
20200625,IL,140434,1321093,1626,399,216,,7014
20200625,IN,43655,400597,723,276,91,33036,2586
20200625,KS,12970,148735,,,,747,261
20200625,KY,14617,328265,377,79,,3719,546
20200625,LA,53415,607250,653,,77,39792,3164
20200625,MA,107837,697619,822,174,101,93157,7963
20200625,MD,65777,433182,511,209,,4874,3129
20200625,ME,3070,84528,25,10,7,2512,103
20200625,MI,68989,893850,557,193,115,49290,6133
20200625,MN,34123,508573,336,162,,29854,1441
20200625,MO,19421,322227,546,,66,,982
20200625,MP,30,8187,,,,19,2
20200625,MS,24516,241481,755,157,94,17242,1016
20200625,MT,803,77529,15,,,572,21
20200625,NC,57183,754095,891,,,36921,1284
20200625,ND,3393,96051,25,,,3064,76
20200625,NE,18221,144949,131,,,12099,257
20200625,NH,5598,105968,49,,,4358,347
20200625,NJ,170196,1150714,1182,252,210,29740,14872
20200625,NM,10990,297115,149,,,4984,480
20200625,NV,14859,240691,467,98,57,682,495
20200625,NY,390415,3229179,996,270,167,70010,24800
20200625,OH,47651,651979,624,206,121,,2772
20200625,OK,11948,293017,277,87,,8507,375
20200625,OR,7568,209050,189,60,29,2649,197
20200625,PA,83770,621031,704,,142,65340,6557
20200625,PR,6877,,85,12,4,,151
20200625,RI,16640,211500,103,18,17,1588,920
20200625,SC,29022,304336,881,,,12317,693
20200625,SD,6479,69375,79,,,5592,87
20200625,TN,38034,689515,741,,,25280,567
20200625,TX,131917,1527423,4739,,,74496,2296
20200625,UT,19374,292680,230,79,,10642,164
20200625,VA,59946,533020,854,237,104,7818,1675
